est_A,est_B,err_A,err_B
110.3262,92.7398,10.3262,-7.2602
106.9984,97.1940,6.9984,-2.8060
112.9007,84.9933,12.9007,-15.0067
111.7505,89.7459,11.7505,-10.2541
115.5104,94.6219,15.5104,-5.3781
104.8721,112.2842,4.8721,12.2842
105.3876,93.6050,5.3876,-6.3950
105.1254,106.4021,5.1254,6.4021
112.7448,94.6168,12.7448,-5.3832
116.9902,102.4795,16.9902,2.4795
105.2470,98.5860,5.2470,-1.4140
105.4514,108.7306,5.4514,8.7306
109.8845,94.6519,9.8845,-5.3481
106.5254,84.2747,6.5254,-15.7253
113.7123,86.1805,13.7123,-13.8195
94.4893,94.6812,-5.5107,-5.3188
103.0398,87.5094,3.0398,-12.4906
103.3055,104.1021,3.3055,4.1021
94.0779,95.3423,-5.9221,-4.6577
102.2182,123.7461,2.2182,23.7461
102.5091,82.6229,2.5091,-17.3771
106.7934,102.0363,6.7934,2.0363
114.6778,88.7205,14.6778,-11.2795
106.5296,95.0660,6.5296,-4.9340
101.8151,101.4142,1.8151,1.4142
107.6583,76.7463,7.6583,-23.2537
114.2950,102.3683,14.2950,2.3683
102.1442,119.0291,2.1442,19.0291
102.5366,95.4656,2.5366,-4.5344
111.3513,102.5981,11.3513,2.5981
106.6708,110.2492,6.6708,10.2492
111.8849,98.3605,11.8849,-1.6395
107.9181,94.1904,7.9181,-5.8096
112.2100,77.2426,12.2100,-22.7574
101.7895,106.4099,1.7895,6.4099
107.9275,98.8683,7.9275,-1.1317
106.7359,89.8732,6.7359,-10.1268
100.7047,101.2660,0.7047,1.2660
98.6191,94.1632,-1.3809,-5.8368
112.1145,94.7157,12.1145,-5.2843
105.8943,106.0629,5.8943,6.0629
101.8663,86.6162,1.8663,-13.3838
107.4229,110.4732,7.4229,10.4732
114.7681,86.0231,14.7681,-13.9769
94.3156,93.3730,-5.6844,-6.6270
99.0202,119.2295,-0.9798,19.2295
102.4627,111.2735,2.4627,11.2735
116.7671,100.9760,16.7671,0.9760
109.6955,90.5947,9.6955,-9.4053
112.6039,94.7073,12.6039,-5.2927
101.1590,100.7328,1.1590,0.7328
101.2828,100.3752,1.2828,0.3752
110.6869,99.0913,10.6869,-0.9087
108.3496,99.6917,8.3496,-0.3083
111.2924,97.8562,11.2924,-2.1438
106.8740,85.5802,6.8740,-14.4198
109.6689,94.8349,9.6689,-5.1651
108.9487,109.1462,8.9487,9.1462
112.6666,86.3167,12.6666,-13.6833
112.8420,98.1044,12.8420,-1.8956
98.2808,91.8025,-1.7192,-8.1975
94.5164,101.1135,-5.4836,1.1135
114.0105,96.1137,14.0105,-3.8863
115.1264,114.7739,15.1264,14.7739
101.8763,105.0658,1.8763,5.0658
96.8410,86.8820,-3.1590,-13.1180
108.5942,106.7123,8.5942,6.7123
113.5850,92.2535,13.5850,-7.7465
118.7856,94.2300,18.7856,-5.7700
111.0978,103.1382,11.0978,3.1382
105.7697,95.0825,5.7697,-4.9175
102.6412,108.9286,2.6412,8.9286
108.0687,92.2549,8.0687,-7.7451
106.2044,93.8105,6.2044,-6.1895
101.9096,93.4363,1.9096,-6.5637
120.2925,94.3436,20.2925,-5.6564
118.7110,110.9919,18.7110,10.9919
114.8163,106.2880,14.8163,6.2880
102.4749,117.0994,2.4749,17.0994
113.1301,122.6764,13.1301,22.6764
111.8378,89.6928,11.8378,-10.3072
110.6553,100.7042,10.6553,0.7042
115.4980,88.2380,15.4980,-11.7620
111.8122,92.2239,11.8122,-7.7761
112.4401,93.6992,12.4401,-6.3008
111.8214,89.4285,11.8214,-10.5715
110.0447,89.4811,10.0447,-10.5189
97.2983,98.5572,-2.7017,-1.4428
108.5017,87.8328,8.5017,-12.1672
104.6628,108.4213,4.6628,8.4213
100.3210,90.8225,0.3210,-9.1775
118.0909,128.0957,18.0909,28.0957
118.3740,95.4862,18.3740,-4.5138
116.1553,100.7202,16.1553,0.7202
109.5313,87.0466,9.5313,-12.9534
116.1038,117.0609,16.1038,17.0609
108.0723,111.1950,8.0723,11.1950
109.2168,102.9692,9.2168,2.9692
101.4392,86.5320,1.4392,-13.4680
110.3819,102.1067,10.3819,2.1067
108.3623,88.7857,8.3623,-11.2143
100.1841,114.6236,0.1841,14.6236
107.6928,108.0919,7.6928,8.0919
107.5216,100.9544,7.5216,0.9544
118.7854,75.6362,18.7854,-24.3638
113.3653,90.1658,13.3653,-9.8342
108.0687,106.8776,8.0687,6.8776
109.4927,112.1288,9.4927,12.1288
108.2653,111.0917,8.2653,11.0917
106.7825,84.0799,6.7825,-15.9201
101.5054,103.0155,1.5054,3.0155
107.0937,110.1552,7.0937,10.1552
103.5234,83.4166,3.5234,-16.5834
100.4981,99.9210,0.4981,-0.0790
111.0673,102.7384,11.0673,2.7384
110.3476,96.9924,10.3476,-3.0076
97.2798,81.4784,-2.7202,-18.5216
107.2639,96.7430,7.2639,-3.2570
113.9742,96.7269,13.9742,-3.2731
114.3553,98.5193,14.3553,-1.4807
114.1550,94.3653,14.1550,-5.6347
108.2335,95.5699,8.2335,-4.4301
102.9297,99.6029,2.9297,-0.3971
101.4978,104.4245,1.4978,4.4245
110.0676,96.9557,10.0676,-3.0443
110.2757,95.9035,10.2757,-4.0965
115.7240,100.9235,15.7240,0.9235
114.5999,80.7908,14.5999,-19.2092
107.2066,104.7704,7.2066,4.7704
100.5348,99.9944,0.5348,-0.0056
106.0854,100.3969,6.0854,0.3969
109.3034,109.6073,9.3034,9.6073
106.7875,80.4718,6.7875,-19.5282
104.5326,80.2617,4.5326,-19.7383
109.5173,102.7380,9.5173,2.7380
104.9763,99.9288,4.9763,-0.0712
104.2316,101.7018,4.2316,1.7018
109.8687,95.3787,9.8687,-4.6213
105.5880,106.6435,5.5880,6.6435
109.4646,109.3264,9.4646,9.3264
109.6392,104.8398,9.6392,4.8398
101.1634,97.3917,1.1634,-2.6083
105.1126,78.9231,5.1126,-21.0769
116.6267,107.6924,16.6267,7.6924
101.0275,112.2173,1.0275,12.2173
95.3001,106.4456,-4.6999,6.4456
96.8289,91.2036,-3.1711,-8.7964
108.1747,106.7379,8.1747,6.7379
108.1855,108.6053,8.1855,8.6053
107.2943,115.5882,7.2943,15.5882
115.2851,91.2389,15.2851,-8.7611
91.9630,97.7355,-8.0370,-2.2645
110.3756,107.4727,10.3756,7.4727
117.3686,100.5741,17.3686,0.5741
101.2333,88.8267,1.2333,-11.1733
105.7212,104.1462,5.7212,4.1462
103.4826,105.7866,3.4826,5.7866
102.6339,100.8796,2.6339,0.8796
106.0424,102.1958,6.0424,2.1958
116.5649,97.4129,16.5649,-2.5871
119.0243,114.7828,19.0243,14.7828
105.9844,90.9931,5.9844,-9.0069
119.4304,94.1268,19.4304,-5.8732
108.2135,100.1099,8.2135,0.1099
118.5221,108.7895,18.5221,8.7895
107.4402,85.0263,7.4402,-14.9737
108.7863,86.8970,8.7863,-13.1030
110.1928,79.6227,10.1928,-20.3773
127.0731,100.3270,27.0731,0.3270
113.1077,88.8169,13.1077,-11.1831
103.7564,96.1545,3.7564,-3.8455
113.8140,106.6138,13.8140,6.6138
105.8290,93.5846,5.8290,-6.4154
105.0615,102.3128,5.0615,2.3128
113.4516,97.0066,13.4516,-2.9934
108.1865,106.7211,8.1865,6.7211
109.6715,104.7513,9.6715,4.7513
108.0839,93.0807,8.0839,-6.9193
110.0195,98.3135,10.0195,-1.6865
110.5498,110.4374,10.5498,10.4374
96.3782,103.9338,-3.6218,3.9338
111.9994,86.0304,11.9994,-13.9696
102.1079,106.5562,2.1079,6.5562
99.3462,89.1539,-0.6538,-10.8461
107.6495,114.1251,7.6495,14.1251
108.5039,110.2410,8.5039,10.2410
103.8390,102.8989,3.8390,2.8989
112.9862,101.5723,12.9862,1.5723
99.9469,97.9097,-0.0531,-2.0903
105.5583,106.7852,5.5583,6.7852
104.4908,96.2922,4.4908,-3.7078
107.7205,102.3557,7.7205,2.3557
109.6732,108.7193,9.6732,8.7193
101.9526,94.3819,1.9526,-5.6181
112.3457,93.8381,12.3457,-6.1619
108.3780,88.0563,8.3780,-11.9437
96.6483,89.3553,-3.3517,-10.6447
96.2485,81.7160,-3.7515,-18.2840
107.9261,107.2983,7.9261,7.2983
106.6742,118.0891,6.6742,18.0891
107.3795,114.2533,7.3795,14.2533
107.8321,83.7392,7.8321,-16.2608
109.3534,107.2485,9.3534,7.2485
113.6859,114.2211,13.6859,14.2211
101.3334,95.4319,1.3334,-4.5681
100.9682,101.0145,0.9682,1.0145
101.4401,79.9211,1.4401,-20.0789
109.7335,102.6674,9.7335,2.6674
115.4697,89.3644,15.4697,-10.6356
105.4120,101.9964,5.4120,1.9964
92.9898,84.3880,-7.0102,-15.6120
97.7760,105.4286,-2.2240,5.4286
103.0018,110.2451,3.0018,10.2451
104.6536,92.1682,4.6536,-7.8318
105.5497,88.6308,5.5497,-11.3692
108.2315,78.4398,8.2315,-21.5602
106.1295,97.3359,6.1295,-2.6641
114.2960,94.1841,14.2960,-5.8159
103.9439,84.4898,3.9439,-15.5102
102.8261,104.5302,2.8261,4.5302
110.8733,95.5003,10.8733,-4.4997
98.7861,89.2426,-1.2139,-10.7574
110.3382,94.4543,10.3382,-5.5457
108.6153,110.7130,8.6153,10.7130
107.1153,106.0294,7.1153,6.0294
117.5297,98.6997,17.5297,-1.3003
104.2668,106.1911,4.2668,6.1911
120.3618,88.3909,20.3618,-11.6091
106.6474,100.3237,6.6474,0.3237
100.3379,101.4732,0.3379,1.4732
108.4195,95.3016,8.4195,-4.6984
101.5425,104.3546,1.5425,4.3546
103.4895,92.1957,3.4895,-7.8043
110.3822,105.0982,10.3822,5.0982
111.3335,105.5186,11.3335,5.5186
104.2670,70.8284,4.2670,-29.1716
113.9244,111.9031,13.9244,11.9031
114.9450,69.5237,14.9450,-30.4763
116.6178,93.8395,16.6178,-6.1605
111.1765,110.2535,11.1765,10.2535
116.1806,96.8271,16.1806,-3.1729
96.7152,85.3381,-3.2848,-14.6619
106.0926,89.0626,6.0926,-10.9374
102.7980,110.2691,2.7980,10.2691
108.7154,80.7850,8.7154,-19.2150
104.5713,111.2899,4.5713,11.2899
107.0031,99.4490,7.0031,-0.5510
119.2930,88.0760,19.2930,-11.9240
106.9817,94.1688,6.9817,-5.8312
110.4828,89.8278,10.4828,-10.1722
106.6064,108.6623,6.6064,8.6623
108.4543,107.3243,8.4543,7.3243
108.0361,82.8084,8.0361,-17.1916
110.6899,95.9641,10.6899,-4.0359
114.9918,91.3681,14.9918,-8.6319
117.8844,112.9351,17.8844,12.9351
109.8577,86.4990,9.8577,-13.5010
111.5373,116.0423,11.5373,16.0423
101.0948,99.6671,1.0948,-0.3329
107.4727,88.3807,7.4727,-11.6193
113.6417,93.2273,13.6417,-6.7727
113.1958,91.9838,13.1958,-8.0162
109.2697,87.2538,9.2697,-12.7462
113.3184,100.9483,13.3184,0.9483
110.9446,87.7208,10.9446,-12.2792
115.2018,78.1963,15.2018,-21.8037
109.7362,96.2032,9.7362,-3.7968
105.8658,81.9714,5.8658,-18.0286
110.0150,92.4784,10.0150,-7.5216
90.4164,90.9090,-9.5836,-9.0910
110.2973,91.2878,10.2973,-8.7122
86.1095,120.0096,-13.8905,20.0096
97.6592,100.5641,-2.3408,0.5641
110.7106,102.4537,10.7106,2.4537
110.8652,82.2360,10.8652,-17.7640
101.0254,93.4604,1.0254,-6.5396
103.7274,102.1530,3.7274,2.1530
116.2232,89.7547,16.2232,-10.2453
105.0958,109.0806,5.0958,9.0806
121.4575,87.9730,21.4575,-12.0270
107.9885,97.1363,7.9885,-2.8637
110.4482,94.1395,10.4482,-5.8605
117.7012,101.6432,17.7012,1.6432
108.7862,93.5951,8.7862,-6.4049
101.9859,97.2911,1.9859,-2.7089
107.3416,97.6387,7.3416,-2.3613
107.7863,92.6561,7.7863,-7.3439
99.8116,104.8509,-0.1884,4.8509
106.4650,102.3839,6.4650,2.3839
103.5468,99.1139,3.5468,-0.8861
113.5461,95.6954,13.5461,-4.3046
108.2077,107.9654,8.2077,7.9654
106.3032,97.6417,6.3032,-2.3583
107.3629,96.9330,7.3629,-3.0670
109.3387,101.0469,9.3387,1.0469
111.7009,116.9659,11.7009,16.9659
102.0017,86.5964,2.0017,-13.4036
101.7505,107.6986,1.7505,7.6986
114.6281,81.0683,14.6281,-18.9317
105.5260,102.1727,5.5260,2.1727
99.4989,115.7508,-0.5011,15.7508
110.6629,104.8867,10.6629,4.8867
110.7802,101.7063,10.7802,1.7063
98.8157,94.3955,-1.1843,-5.6045
109.3769,100.3105,9.3769,0.3105
112.4135,97.4794,12.4135,-2.5206
110.2463,92.1402,10.2463,-7.8598
111.7919,97.1012,11.7919,-2.8988
99.5744,101.9838,-0.4256,1.9838
109.9862,92.3278,9.9862,-7.6722
106.1843,91.9372,6.1843,-8.0628
105.1033,86.3976,5.1033,-13.6024
113.2233,103.9073,13.2233,3.9073
116.8756,105.4532,16.8756,5.4532
118.7662,102.3166,18.7662,2.3166
115.8888,109.6517,15.8888,9.6517
107.3416,100.8787,7.3416,0.8787
110.1163,103.9201,10.1163,3.9201
112.6009,103.0384,12.6009,3.0384
108.7271,99.0846,8.7271,-0.9154
108.7846,94.6918,8.7846,-5.3082
112.9425,122.1415,12.9425,22.1415
